Audit Trail Events for Principal Investigator
Logical ID,Status,Status Reason
AUTHENTICATION,LOGIN_SUCCESSFUL,You can see the login success information with session ID .
AUTHENTICATION,LOGIN_FAILED,You can see the reason for login failure. 
AUTHENTICATION,LOGOUT_SUCCESSFUL,You can see the logout success information with session ID.
DATA_SECURITY,SHARE_S3 BUCKET_COMPLETED,You can see the shared products information.
DATA_SECURITY,UNSHARE_S3 BUCKET_COMPLETED,You can see the unshared products information.
CATALOG,ASSIGN_TO_PROJECT_STARTED,You can see the assigned products to the related project information.
CATALOG,STACK_CREATION_STARTED,You can see the assigned products  to the related project information.
CATALOG,STACK_CREATION_FAILED,You can see the  assigned products failed information which is related to the project.
CATALOG,ASSIGN_TO_PROJECT_COMPLETED,You can see the assigned products to the related project completion information.
CATALOG,ASSIGN_TO_PROJECT_FAILED,You can see the assigned products  failed information which related to the project.
CATALOG,UPDATE_TO_PROJECT_STARTED,You can see the updated products started information which is related to the project.
CATALOG,UPDATE_TO_PROJECT_COMPLETED,You can see the updated products to the related project completion information.
CATALOG,UPDATE_TO_PROJECT_FAILED,You can see the updated produts to the related project failed information.
CATALOG,UPDATE_TO_OU_COMPLETED,You can see the updated products to the related oragnizataional unit  updation information.
CATALOG,ASSIGN_TO_OU_COMPLETED,You can see the assigned products to the related organizational unit  completion information.
CATALOG,ROLLBACK_COMPLETE,You can see the  assigned products failed information  which related to the project.
CATALOG,SYNC_STARTED,"You can see the  sync started information (i.e, which  user  started and related account name)"
CATALOG,SYNC_COMPLETED,"You can see the  sync completed  information (i.e.. which user  started, related account name with  products count information)."
CATALOG,SYNC_FAILED,"You can see the sync failed information(i.e., which user started, related account name and error information).
"
CATALOG,PRODUCT_DETAILS_SYNC_COMPLETED,"You can see the sync completed information (i.e., which user started and related account name. It will show products count).
"
KEY_PAIRS,KEY_PAIRS_SYNC_STARTED,"You can view the details about  KeyPairs sync (i.e., which user started)."
KEY_PAIRS,KEY_PAIRS_SYNC_COMPLETED,"You can see KeyPairs sync completed information (i.e., which user started and related account name. It will show KeyPairs count in that region)."
KEY_PAIRS,KEY_PAIRS_SYNC_FAILED,You can see KeyPairs sync failed information with the error  and it will show the solution to resolve the problem.
VPC,VPC_SYNC_STARTED,"You can view the details about  VPC sync (i.e., which user started)."
VPC,VPC_SYNC_COMPLETED,"You can see VPC sync completed information (i.e., which user started and related account name. It will show VPC count in that region)."
VPC,VPC_SYNC_FAILED,You can see VPC sync failed information with the error  and it will show the solution to resolve the problem.
SECURITY_GROUP,SECURITY_GROUP_SYNC_STARTED,"You can view the details about  security group sync (i.e., which user started)."
SECURITY_GROUP,SECURITY_GROUP_SYNC_COMPLETED,"You can see Security Groups sync completed information (i.e., which user started and related account name. It will show security groups count in that region)."
SECURITY_GROUP,SECURITY_GROUP_SYNC_FAILED,You can see Security Groups  sync failed information with the error  and it will show the solution to resolve the problem.
SUBNETS,SUBNETS_SYNC_STARTED,"You can view the details about  subnets sync (i.e., which user started)."
SUBNETS,SUBNETS_SYNC_COMPLETED,"You can see subnets sync completed information (i.e., which user started and related account name. It will show subnets count in that region)."
SUBNETS,SUBNETS_SYNC_FAILED,You can see ubnets sync failed information with the error  and it will show the solution to resolve the problem.
SETTINGS,VERIFY_SETTING_SUCCESSFUL,You can see the setting verification successful information with account number and account name.
SETTINGS,VERIFY_SETTING_FAILED,You can see the setting verification failed information with account number.
SETTINGS,"ADD_SETTING_SUCCESSFUL
",You can see the setting creation successful information with account number.
SETTINGS,ADD_SETTING_FAILED,You can see the setting addition failed information with error.
SETTINGS,DELETE_SETTING_STARTED,You can see the details about  setting deletion started by which user. 
SETTINGS,DELETE_SETTING_SUCCESS,You can see the setting deletion success information.
SETTINGS,"DELETE_SETTING_FAILED
",You can see setting deletion failed  information 
SETTINGS,SNS_TOPIC_SUBSCRIPTION_CREATION,You can see the SNS topic  subscription status information. 
SETTINGS,SNS_TOPIC_CREATION,You can see the SNS topic creation status information. 
SETTINGS,REPAIR_SETTING_STARTED,You can view the details about  setting repair started by which user. 
SETTINGS,REPAIR_SETTING_SUCCESSFUL,You can  see  setting repair successful information. 
SETTINGS,VERIFYING_POLICY_SUCCESSFUL,You can see the policy verification successful information  with account number.
SETTINGS,DETACHING_POLICY_FAILED,You can see policy deletion failed information with account number
SETTINGS,DETACHING_POLICY_SUCCESSFUL,You can see policy deletion successful information with account number
